date,time,time_formatted,year,month,day,day_of_week,type,details,location,coverage,daily_text,url,newmonth,daycount,lastdaily
1/29/18,11:30:00,11:30 AM,2018,January,29,Monday,President Schedule,The President participates in the swearing-in ceremony for the Secretary of the Department of Health and Human Services Alex Azar (Final Gather 11:20 AM Briefing Room Doors),Roosevelt Room,In-House Pool Spray ,"UPDATE: Press Secretary Sarah Sanders will give an on camera press briefing at 1:15 PM.""",https://factba.se/transcript/donald-trump-remarks-swearing-in-hhs-azar-january-29-2018,FALSE,,FALSE
1/29/18,12:10:00,12:10 PM,2018,January,29,Monday,President Schedule,The President has lunch with the United Nations Security Council (Final Gather 11:55 AM Palm Room Doors),State Dining Room,In-House Pool Spray ,"UPDATE: Press Secretary Sarah Sanders will give an on camera press briefing at 1:15 PM.""",https://factba.se/transcript/donald-trump-remarks-un-security-council-lunch-january-29-2018,FALSE,,FALSE
1/29/18,13:15:00,1:15 PM,2018,January,29,Monday,Briefing Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,"UPDATE: Press Secretary Sarah Sanders will give an on camera press briefing at 1:15 PM.""",,FALSE,,TRUE
1/28/18,11:00:00,11:00 AM,2018,January,28,Sunday,President Schedule,In-Town Travel Pool Call Time,,,,,,1,FALSE
1/27/18,,,2018,January,27,Saturday,President Schedule,No Public Events Scheduled,,,,,,2,FALSE
1/27/18,11:00:00,11:00 AM,2018,January,27,Saturday,President Schedule,In-Town Travel Pool Call Time,,,,,FALSE,,TRUE
1/26/18,03:55:00,3:55 AM,2018,January,26,Friday,President Schedule,The President departs RON en route to the World Economic Forum Congress Centre,"Davos, Switzerland",Out-of-Town Travel Pool,,,,14,FALSE
1/26/18,04:10:00,4:10 AM,2018,January,26,Friday,President Schedule,The President arrives at the World Economic Forum Congress Centre,"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,04:15:00,4:15 AM,2018,January,26,Friday,President Schedule,The President participates in a bilateral meeting with the President of the Republic of Rwanda (10:15 AM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-paul-kagame-davos-january-26-2018,FALSE,,FALSE
1/26/18,05:20:00,5:20 AM,2018,January,26,Friday,President Schedule,The President participates in a bilateral meeting with the President of the Swiss Confederation (11:20 AM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-alain-berset-davos-january-26-2018,FALSE,,FALSE
1/26/18,08:00:00,8:00 AM,2018,January,26,Friday,President Schedule,The President addresses the World Economic Forum (2:00 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-speech-world-economic-forum-davos-january-26-2018,FALSE,,FALSE
1/26/18,09:05:00,9:05 AM,2018,January,26,Friday,President Schedule,The President departs the World Economic Forum Congress Centre en route to the RON Landing Zone (3:05 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,09:20:00,9:20 AM,2018,January,26,Friday,President Schedule,"The President departs the Davos, Switzerland en route to Zurich Airport (3:20 PM Local)","Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,12:25:00,12:25 PM,2018,January,26,Friday,President Schedule,"The President departs Zurich, Switzerland en route to Washington, D.C. (6:25 PM Local)","Zurich, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,18:45:00,6:45 PM,2018,January,26,Friday,President Schedule,The President arrives at Joint Base Andrews Out-of-Town Travel Pool,Joint Base Andrews,,,,FALSE,,FALSE
1/26/18,18:55:00,6:55 PM,2018,January,26,Friday,President Schedule,The President departs Joint Base Andrews en route to the White House Out-of-Town Travel Pool,Joint Base Andrews,,,,FALSE,,FALSE
1/26/18,19:05:00,7:05 PM,2018,January,26,Friday,President Schedule,The President arrives at the White House,South Lawn,Open Press,,,FALSE,,FALSE
1/26/18,19:45:00,7:45 PM,2018,January,26,Friday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,19:55:00,7:55 PM,2018,January,26,Friday,President Schedule,The President departs Joint Base Andrews en route to The White House,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
1/26/18,20:05:00,8:05 PM,2018,January,26,Friday,President Schedule,The President arrives at The White House,South Lawn,Open Press,,https://factba.se/transcript/donald-trump-remarks-marine-one-arrival-white-house-january-27-2018,FALSE,,TRUE
1/25/18,04:55:00,4:55 AM,2018,January,25,Thursday,President Schedule,The President arrives at Zurich Airport (10:55 AM Local),Zurich Airport,Out-of-Town Travel Pool,,,,12,FALSE
1/25/18,05:05:00,5:05 AM,2018,January,25,Thursday,President Schedule,"The President departs Zurich, Switzerland en route to Davos, Switzerland (11:05 AM Local)",Zurich Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
1/25/18,05:50:00,5:50 AM,2018,January,25,Thursday,President Schedule,The President arrives at Intercontinental Davos Landing Zone (11:50 AM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/25/18,06:00:00,6:00 AM,2018,January,25,Thursday,President Schedule,The President departs Intercontinental Davos Landing Zone en route to RON (12:00 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/25/18,08:25:00,8:25 AM,2018,January,25,Thursday,President Schedule,The President departs RON en route to World Economic Forum Congress Centre (2:25 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/25/18,08:40:00,8:40 AM,2018,January,25,Thursday,President Schedule,The President arrives at World Economic Forum Congress Centre (2:40 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,FALSE
1/25/18,08:45:00,8:45 AM,2018,January,25,Thursday,President Schedule,The President participates in a bilateral meeting with the Prime Minister of the United Kingdom (2:45 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-theresa-may-davos-january-25-2018,FALSE,,FALSE
1/25/18,09:45:00,9:45 AM,2018,January,25,Thursday,President Schedule,The President participates in a bilateral meeting with the Prime Minister of the State of Israel (3:45 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-benjamin-netanyahu-davos-january-25-2018,FALSE,,FALSE
1/25/18,12:10:00,12:10 PM,2018,January,25,Thursday,President Schedule,"The President meets with Klaus Schwab, Founder and Executive Chairman, World Economic Forum (6:10 PM Local)","Davos, Switzerland",Closed Press,,,FALSE,,FALSE
1/25/18,12:30:00,12:30 PM,2018,January,25,Thursday,President Schedule,"The President attends a reception hosted by Klaus Schwab, Founder and Executive Chairman, World Economic Forum (6:30 PM Local)","Davos, Switzerland",Closed Press,,,FALSE,,FALSE
1/25/18,13:40:00,1:40 PM,2018,January,25,Thursday,President Schedule,The President has dinner with European Business Leaders (7:40 PM Local),"Davos, Switzerland",Closed Press,,https://factba.se/transcript/donald-trump-remarks-dinner-business-leaders-davos-january-25-2018,FALSE,,FALSE
1/25/18,15:15:00,3:15 PM,2018,January,25,Thursday,President Schedule,The President departs World Economic Forum Congress Centre en route to RON (9:15 PM Local),"Davos, Switzerland",Out-of-Town Travel Pool,,,FALSE,,TRUE
1/24/18,09:00:00,9:00 AM,2018,January,24,Wednesday,President Schedule,In-Town Travel Pool Call Time,,,ITP,,,7,FALSE
1/24/18,11:45:00,11:45 AM,2018,January,24,Wednesday,President Schedule,"The President hosts a credentialing ceremony for newly appointed Ambassadors to Washington, D.C.",Oval Office,Closed Press,ITP,,FALSE,,FALSE
1/24/18,12:45:00,12:45 PM,2018,January,24,Wednesday,President Schedule,The President has lunch with Vice President Mike Pence,Private Dining Room,Closed Press,ITP,,FALSE,,FALSE
1/24/18,15:00:00,3:00 PM,2018,January,24,Wednesday,President Schedule,The President participates in a working session with mayors (Final Gather 2:45 PM Briefing Room Doors),East Wing,In-House Pool,ITP,https://factba.se/transcript/donald-trump-remarks-mayors-january-24-2018,FALSE,,FALSE
1/24/18,18:45:00,6:45 PM,2018,January,24,Wednesday,President Schedule,Out-of-Town Travel Pool Call Time,,,ITP,,FALSE,,FALSE
1/24/18,20:10:00,8:10 PM,2018,January,24,Wednesday,President Schedule,The President departs the White House en route to Joint Base Andrews,South Lawn,Open Press,ITP,,FALSE,,FALSE
1/24/18,20:30:00,8:30 PM,2018,January,24,Wednesday,President Schedule,"The President departs Joint Base Andrews in route to Zurich, Switzerland",Joint Base Andrews,Out of Town Travel Pool,ITP,,FALSE,,TRUE
1/23/18,09:00:00,9:00 AM,2018,January,23,Tuesday,President Schedule,In-Town Travel Pool Call Time,,,"""__""",,,3,FALSE
1/23/18,11:00:00,11:00 AM,2018,January,23,Tuesday,President Schedule,The President receives his daily intelligence briefing,Oval Office,Closed Press,"""__""",,FALSE,,FALSE
1/23/18,13:30:00,1:30 PM,2018,January,23,Tuesday,President Schedule,The President signs Section 201 actions (Final Gather 1:20 PM Briefing Room Doors),Oval Office,In-House Pool Spray,"""__""",https://factba.se/transcript/donald-trump-remarks-tariff-solar-washing-machines-january-23-2018,FALSE,,TRUE
1/22/18,09:00:00,9:00 AM,2018,January,22,Monday,President Schedule,In-Town Travel Pool Call Time,,,"_UPDATE_: Press Secretary Sarah Sanders will give an on camera press briefing at 2:00 PM.""",,,3,FALSE
1/22/18,13:30:00,1:30 PM,2018,January,22,Monday,President Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,ITP,,FALSE,,FALSE
1/22/18,14:00:00,2:00 PM,2018,January,22,Monday,President Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,"_UPDATE_: Press Secretary Sarah Sanders will give an on camera press briefing at 2:00 PM.""",,FALSE,,TRUE
1/21/18,11:00:00,11:00 AM,2018,January,21,Sunday,President Schedule,In-Town Travel Pool Call Time,,,ITP,,,1,FALSE
1/20/18,,,2018,January,20,Saturday,President Schedule,In-Town Travel Pool Call Time,,,[Note: No Public Events on the schedule],,,1,FALSE
1/19/18,09:00:00,9:00 AM,2018,January,19,Friday,President Schedule,In-Town Travel Pool Call Time,,,_Friday January 19: In-Town Travel Pool_,,,8,FALSE
1/19/18,11:00:00,11:00 AM,2018,January,19,Friday,President Schedule,The President receives his daily intelligence briefing,Oval Office,Closed Press,_Friday January 19: In-Town Travel Pool_,,FALSE,,FALSE
1/19/18,12:15:00,12:15 PM,2018,January,19,Friday,President Schedule,The President addresses March for Life Participants and Pro-Life Leaders,Rose Garden,Pre-Credentialed Media,_Friday January 19: In-Town Travel Pool_,https://factba.se/transcript/donald-trump-remarks-march-for-life-january-19-2018,FALSE,,FALSE
1/19/18,14:00:00,2:00 PM,2018,January,19,Friday,President Schedule,The President meets with his national security team,White House Situation Room,Closed Press,_Friday January 19: In-Town Travel Pool_,,FALSE,,FALSE
1/19/18,14:30:00,2:30 PM,2018,January,19,Friday,President Schedule,Out of Town Travel Pool Call Time,,,_Friday January 19: In-Town Travel Pool_,,FALSE,,FALSE
1/19/18,16:10:00,4:10 PM,2018,January,19,Friday,President Schedule,CANCELLED: The President and THE FIRST LADY depart the White House en route to Joint Base Andrews,South Lawn,Open Press,_Friday January 19: In-Town Travel Pool_,,FALSE,,FALSE
1/19/18,16:30:00,4:30 PM,2018,January,19,Friday,President Schedule,"CANCELLED: The President and THE FIRST LADY depart Washington, D.C., en route to Palm Beach, FL",Joint Base Andrews,Out-of-Town Travel Pool,_Friday January 19: In-Town Travel Pool_,,FALSE,,FALSE
1/19/18,19:10:00,7:10 PM,2018,January,19,Friday,President Schedule,"CANCELLED: The President and THE FIRST LADY arrive in Palm Beach, FL",Palm Beach International Airport,Out-of-Town Travel Pool,_Friday January 19: In-Town Travel Pool_,,FALSE,,TRUE
1/18/18,09:00:00,9:00 AM,2018,January,18,Thursday,President Schedule,In-Town Pool Call Time,,,,,,13,FALSE
1/18/18,10:00:00,10:00 AM,2018,January,18,Thursday,President Schedule,The President meets with Secretary of State Rex Tillerson,Oval Office,Closed Press,,,FALSE,,FALSE
1/18/18,10:55:00,10:55 AM,2018,January,18,Thursday,President Schedule,The President arrives at the Pentagon,"Arlington, VA",In-Town Pool,,,FALSE,,FALSE
1/18/18,11:00:00,11:00 AM,2018,January,18,Thursday,President Schedule,The President meets with Senior Military Leadership,The Pentagon,Closed Press,,https://factba.se/transcript/donald-trump-remarks-reporters-pentagon-january-18-2018,FALSE,,FALSE
1/18/18,11:30:00,11:30 AM,2018,January,18,Thursday,President Schedule,Out-of-Town Travel Pool Call Time,,,,,FALSE,,FALSE
1/18/18,12:35:00,12:35 PM,2018,January,18,Thursday,President Schedule,The President departs the Pentagon en route to Joint Base Andrews,"Arlington, VA",In-Town Press,,,FALSE,,FALSE
1/18/18,13:00:00,1:00 PM,2018,January,18,Thursday,President Schedule,"The President arrives at Joint Base Andrews en route to Pittsburgh, PA",Joint Base Andrews,,,,FALSE,,FALSE
1/18/18,14:10:00,2:10 PM,2018,January,18,Thursday,President Schedule,The President arrives at Pittsburgh International Airport,"Pittsburgh, PA",Pre-Credentialed Media,,,FALSE,,FALSE
1/18/18,14:30:00,2:30 PM,2018,January,18,Thursday,President Schedule,The President arrives at H&K Equipment Company,"Coraopolis, PA",Out-of-Town Pool,,,FALSE,,FALSE
1/18/18,14:45:00,2:45 PM,2018,January,18,Thursday,President Schedule,The President takes a tour of H&K Equipment Company,"Coraopolis, PA",Out-of-Town Pool,,https://factba.se/transcript/donald-trump-remarks-hk-equipment-tour-coraoplis-pa-january-18-2018,FALSE,,FALSE
1/18/18,15:05:00,3:05 PM,2018,January,18,Thursday,President Schedule,The President gives remarks at H&K Equipment Company,"Coraopolis, PA",Pre-Credentialed Media,,https://factba.se/transcript/donald-trump-remarks-hk-equipment-coraoplis-pa-january-18-2018,FALSE,,FALSE
1/18/18,15:50:00,3:50 PM,2018,January,18,Thursday,President Schedule,"The President departs Pittsburgh, PA en route to Washington, D.C.",Pittsburgh International Airport,Closed Press,,,FALSE,,FALSE
1/18/18,17:05:00,5:05 PM,2018,January,18,Thursday,President Schedule,The President arrives at the White House,South Lawn,Open Press,,,FALSE,,TRUE
1/17/18,09:00:00,9:00 AM,2018,January,17,Wednesday,President Schedule,In-Town Travel Pool Call Time,,,ITP,,,5,FALSE
1/17/18,13:00:00,1:00 PM,2018,January,17,Wednesday,President Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,ITP,,FALSE,,FALSE
1/17/18,14:35:00,2:35 PM,2018,January,17,Wednesday,President Schedule,The President departs the White House en route to the United States Capitol (Final Gather 2:20 PM Palm Room Doors),South Lawn,In-Town Travel Pool ,ITP,,FALSE,,FALSE
1/17/18,15:00:00,3:00 PM,2018,January,17,Wednesday,President Schedule,The President attends a Congressional Gold Medal ceremony honoring former Senator Bob Dole,U.S. Capitol,Pre-Credentialed Media,ITP,https://factba.se/transcript/donald-trump-remarks-trump-bob-dole-ceremony-january-17-2018,FALSE,,FALSE
1/17/18,16:05:00,4:05 PM,2018,January,17,Wednesday,President Schedule,The President departs the United States Capitol en route to the White House,U.S. Capitol,In-Town Travel Pool,ITP,,FALSE,,TRUE
1/16/18,09:00:00,9:00 AM,2018,January,16,Tuesday,President Schedule,In-Town Pool Call Time,,,,,,7,FALSE
1/16/18,12:00:00,12:00 PM,2018,January,16,Tuesday,President Schedule,The President greets President Nursultan Nazarbayev of Kazakhstan,Stake-Out Location,Open Press,,,FALSE,,FALSE
1/16/18,12:05:00,12:05 PM,2018,January,16,Tuesday,President Schedule,The President meets with President Nursultan Nazarbayev,Oval Office,In-House Pool Spray,,https://factba.se/transcript/donald-trump-remarks-trump-nazarbayev-kazakhstan-january-16-2018,FALSE,,FALSE
1/16/18,12:15:00,12:15 PM,2018,January,16,Tuesday,President Schedule,The President participates in joint press statements with President Nursultan Nazarbayev,Roosevelt Room,In-House Pool Spray,,https://factba.se/transcript/donald-trump-press-conference--trump-nazarbayev-kazakhstan-january-16-2018,FALSE,,FALSE
1/16/18,12:30:00,12:30 PM,2018,January,16,Tuesday,President Schedule,The President participates in a working lunch with President Nursultan Nazarbayev,Cabinet Room,Closed Press,,,FALSE,,FALSE
1/16/18,14:30:00,2:30 PM,2018,January,16,Tuesday,Pool Report Schedule,The President Pays an Unscheduled Visit to Women in America Panel (2:30 PM - 2:40 PM,,,,https://factba.se/transcript/donald-trump-remarks-women-in-america-panel-january-16-2018,FALSE,,FALSE
1/16/18,15:30:00,3:30 PM,2018,January,16,Tuesday,Briefing Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,,,FALSE,,TRUE
1/15/18,07:35:00,7:35 AM,2018,January,15,Monday,President Schedule,Out-of-Town Travel Pool Call Time,,,,,,4,FALSE
1/15/18,09:05:00,9:05 AM,2018,January,15,Monday,Pool Report Schedule,The President Plays Golf at Trump International Golf Club (9:07 AM - 1:27 PM ),"Trump International Golf Club, West Palm Beach",Closed Press,,,FALSE,,FALSE
1/15/18,16:20:00,4:20 PM,2018,January,15,Monday,President Schedule,"The President and THE FIRST LADY depart West Palm Beach, Florida en route to Washington, D.C.",Palm Beach International Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
1/15/18,18:50:00,6:50 PM,2018,January,15,Monday,President Schedule,The President and THE FIRST LADY arrive back at the White House,South Lawn,Open Press,,,FALSE,,TRUE
1/14/18,,,2018,January,14,Sunday,President Schedule,TBD: Out-of-Town Travel Pool Call Time The President has no public events scheduled,,,,,,3,FALSE
1/14/18,07:15:00,7:15 AM,2018,January,14,Sunday,President Schedule,Out-of-Town Travel Pool Call Time The President has no public events scheduled,Mar-a-Lago,,,,FALSE,,FALSE
1/14/18,09:25:00,9:25 AM,2018,January,14,Sunday,Pool Report Schedule,The President Plays Golf at Trump International Golf Club (9:26 AM - 2:19 PM),"Trump International Golf Club, West Palm Beach",Closed Press,,,FALSE,,TRUE
1/13/18,07:15:00,7:15 AM,2018,January,13,Saturday,President Schedule,Out-of-Town Travel Pool Call Time,,,,,,3,FALSE
1/13/18,09:25:00,9:25 AM,2018,January,13,Saturday,Pool Report Schedule,The President Plays Golf at Trump International Golf Club (9:26 AM - 1:38 PM),"Trump International Golf Club, West Palm Beach",Closed Press,,,FALSE,,FALSE
1/13/18,19:15:00,7:15 PM,2018,January,13,Saturday,Pool Report Schedule,The President Has Dinner at Trump International Golf Club with Kevin McCarthy (7:13 PM - 8:47 PM),"Trump International Golf Club, West Palm Beach",Closed Press,,https://factba.se/transcript/donald-trump-press-conference-before-dinner-west-palm-january-14-2018,FALSE,,TRUE
1/12/18,09:00:00,9:00 AM,2018,January,12,Friday,President Schedule,In-Town Travel Pool Call Time,,,_Friday January 12: In-Town Travel Pool_,,,9,FALSE
1/12/18,11:00:00,11:00 AM,2018,January,12,Friday,President Schedule,The President receives his daily intelligence briefing,Oval Office,Closed Press,_Friday January 12: In-Town Travel Pool_,,FALSE,,FALSE
1/12/18,11:30:00,11:30 AM,2018,January,12,Friday,President Schedule,"The President signs a proclamation to honor Dr. Martin Luther King, Jr. Day",Roosevelt Room,In-House Pool,_Friday January 12: In-Town Travel Pool_,https://factba.se/transcript/donald-trump-remarks-mlk-day-january-12-2018,FALSE,,FALSE
1/12/18,12:15:00,12:15 PM,2018,January,12,Friday,President Schedule,The President departs The White House en route to Walter Reed National Military Medical Center,South Lawn,Open Press,_Friday January 12: In-Town Travel Pool_,,FALSE,,FALSE
1/12/18,12:40:00,12:40 PM,2018,January,12,Friday,President Schedule,The President arrives at Walter Reed National Military Medical Center,Walter Reed National Military Medical Center,In-Town Travel Pool,_Friday January 12: In-Town Travel Pool_,,FALSE,,FALSE
1/12/18,12:45:00,12:45 PM,2018,January,12,Friday,President Schedule,The President has his annual physical exam,Walter Reed National Military Medical Center,Closed Press,_Friday January 12: In-Town Travel Pool_,https://factba.se/transcript/donald-trump-official-document-annual-physical-january-12-2018,FALSE,,FALSE
1/12/18,16:00:00,4:00 PM,2018,January,12,Friday,President Schedule,The President departs Walter Reed National Military Medical Center en route to Joint Base Andrews,Walter Reed National Military Medical Center,In-Town Travel Pool,_Friday January 12: In-Town Travel Pool_,,FALSE,,FALSE
1/12/18,16:35:00,4:35 PM,2018,January,12,Friday,President Schedule,"The President and THE FIRST LADY depart Washington, D.C., en route to Palm Beach, FL",Joint Base Andrews,Out-of-Town Travel Pool,_Friday January 12: In-Town Travel Pool_,,FALSE,,FALSE
1/12/18,18:55:00,6:55 PM,2018,January,12,Friday,President Schedule,"The President and THE FIRST LADY arrive in Palm Beach, FL",Palm Beach International Airport,Out-of-Town Travel Pool,_Friday January 12: In-Town Travel Pool_,,FALSE,,TRUE
1/11/18,09:00:00,9:00 AM,2018,January,11,Thursday,President Schedule,In-Town Travel Pool Call Time,,,,,,4,FALSE
1/11/18,13:30:00,1:30 PM,2018,January,11,Thursday,President Schedule,The President will lead a prison reform roundtable (Final Gather 1:20 PM Briefing Room Doors),Roosevelt Room,In-House Pool Spray ,,https://factba.se/transcript/donald-trump-remarks-prison-reform-roundtable-january-11-2018,FALSE,,FALSE
1/11/18,14:15:00,2:15 PM,2018,January,11,Thursday,Briefing Schedule,Press Briefing with Press Secretary Sarah Sanders,White House Briefing Room,On Camera,,,FALSE,,FALSE
1/11/18,14:45:00,2:45 PM,2018,January,11,Thursday,President Schedule,The President meets with his National Security team,Oval Office,Closed Press,,,FALSE,,TRUE
1/10/18,09:00:00,9:00 AM,2018,January,10,Wednesday,President Schedule,In-Town Travel Pool Call Time,,,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,,11,FALSE
1/10/18,11:00:00,11:00 AM,2018,January,10,Wednesday,President Schedule,The President receives his daily intelligence briefing,Oval Office,Closed Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
1/10/18,11:30:00,11:30 AM,2018,January,10,Wednesday,President Schedule,The President holds a Cabinet meeting (Final Gather 11:20 AM Briefing Room Doors),Cabinet Room,In-House Pool Spray ,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",https://factba.se/transcript/donald-trump-remarks-cabinet-meeting-january-10-2018,FALSE,,FALSE
1/10/18,12:30:00,12:30 PM,2018,January,10,Wednesday,President Schedule,The President has lunch with Vice President Mike Pence and Secretary of State Rex Tillerson,Private Dining Room,Closed Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
1/10/18,14:00:00,2:00 PM,2018,January,10,Wednesday,President Schedule,The President greets Prime Minister Erna Solberg of Norway,Stake-Out Location,Open Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
1/10/18,14:05:00,2:05 PM,2018,January,10,Wednesday,President Schedule,The President meets with Prime Minister Solberg (Final Gather 1:50 PM Briefing Room Doors),Oval Office,In-House Pool Spray ,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",https://factba.se/transcript/donald-trump-remarks-erna-solberg-norway-january-10-2018,FALSE,,FALSE
1/10/18,14:20:00,2:20 PM,2018,January,10,Wednesday,President Schedule,The President participates in an expanded bilateral meeting with Prime Minister Solberg,Oval Office,Closed Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
1/10/18,15:20:00,3:20 PM,2018,January,10,Wednesday,President Schedule,The President holds a joint press conference with Prime Minister Solberg,East Room,Open Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",https://factba.se/transcript/donald-trump-press-conference-erna-solberg-norway-january-10-2018,FALSE,,FALSE
1/10/18,16:00:00,4:00 PM,2018,January,10,Wednesday,President Schedule,The President meets with U.S. Ambassador to the United Nations Nikki Haley,Oval Office,Closed Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
1/10/18,16:30:00,4:30 PM,2018,January,10,Wednesday,President Schedule,The President meets with Secretary of the Treasury Steven Mnuchin,Oval Office,Closed Press,"In the morning, President Donald J. Trump will receive his daily intelligence briefing. The President will then hold a Cabinet meeting. In the afternoon, the President will have lunch with Vice President Mike Pence and Secretary of State Rex Tillerson. The President will then greet Prime Minister Erna Solberg of Normay. The President will then meet with Prime Minister Solberg. The President and Prime Minister Solberg will then hold a joint press conference. Later in the afternoon, the President will meet with U.S. Ambassador to the United Nations Nikki Haley. The President will then meet with Secretary of the Treasury Steven Mnuchin.",,FALSE,,FALSE
