date,time,time_formatted,year,month,day,day_of_week,type,details,location,coverage,daily_text,url,newmonth,daycount,lastdaily
6/23/18,09:20:00,9:20 AM,2018,June,23,Saturday,President Schedule,"The President departs Washington, DC, en route to Las Vegas, NV",Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,13:50:00,1:50 PM,2018,June,23,Saturday,President Schedule,The President arrives at McCarran International Airport (10:50 AM Local),"McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:00:00,2:00 PM,2018,June,23,Saturday,President Schedule,The President departs McCarran International Airport en route to Suncoast Hotel & Casino (11:00 AM Local),"McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:20:00,2:20 PM,2018,June,23,Saturday,President Schedule,The President arrives at Suncoast Hotel & Casino (11:20 AM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,14:45:00,2:45 PM,2018,June,23,Saturday,President Schedule,The President hosts a roundtable with supporters (11:45 AM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Closed Press,,,FALSE,,FALSE
6/23/18,15:15:00,3:15 PM,2018,June,23,Saturday,President Schedule,The President delivers remarks at the Nevada Republican Party Convention (12:15 PM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,15:50:00,3:50 PM,2018,June,23,Saturday,President Schedule,The President departs the Suncoast Hotel & Casino en route to the South Point Hotel Casino and Spa (12:50 PM Local),"Suncoast Hotel & Casino, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,16:15:00,4:15 PM,2018,June,23,Saturday,President Schedule,The President arrives at the South Point Hotel Casino and Spa (1:15 PM Local),"South Point Hotel Casino and Spa, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,16:20:00,4:20 PM,2018,June,23,Saturday,President Schedule,The President hosts a roundtable discussion on tax reform (1:20 PM Local),"South Point Hotel Casino and Spa, Las Vegas, NV",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-tax-reform-roundtable-las-vegas-june-23-2018,FALSE,,FALSE
6/23/18,17:10:00,5:10 PM,2018,June,23,Saturday,President Schedule,The President departs the South Point Hotel Casino and Spa en route to McCarran International Airport (2:10 PM Local),"South Point Hotel Casino and Spa, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,17:20:00,5:20 PM,2018,June,23,Saturday,President Schedule,The President arrives at McCarran International Airport (2:20 PM Local),"McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,17:30:00,5:30 PM,2018,June,23,Saturday,President Schedule,"The President departs Las Vegas, NV, en route to Washington, DC (2:30 PM Local)","McCarran International Airport, Las Vegas, NV",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,21:35:00,9:35 PM,2018,June,23,Saturday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,21:45:00,9:45 PM,2018,June,23,Saturday,President Schedule,The President departs Joint Base Andrews en route to the White House,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/23/18,21:55:00,9:55 PM,2018,June,23,Saturday,President Schedule,The President arrives at the White House,South Lawn,Open Press,,,FALSE,,TRUE
6/22/18,09:00:00,9:00 AM,2018,June,22,Friday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,8,FALSE
6/22/18,12:15:00,12:15 PM,2018,June,22,Friday,President Schedule,"The President participates in the credentialing ceremony for newly appointed ambassadors to Washington, DC",Oval office,Closed Press,,,FALSE,,FALSE
6/22/18,14:30:00,2:30 PM,2018,June,22,Friday,President Schedule,The President gives remarks on immigration with Angel Families,South Court Auditorium,In-Town Pool,,https://factba.se/transcript/donald-trump-remarks-immigration-crime-june-22-2018,FALSE,,FALSE
6/22/18,19:35:00,7:35 PM,2018,June,22,Friday,President Schedule,The President and FIRST LADY depart the White House en route to the Marine Barracks,"Washington, DC",In-Town Travel Pool,,,FALSE,,FALSE
6/22/18,19:45:00,7:45 PM,2018,June,22,Friday,President Schedule,The President and FIRST LADY arrive at the Marine Barracks,"Marine Barracks, Washington, DC",In-Town Travel Pool,,,FALSE,,FALSE
6/22/18,20:30:00,8:30 PM,2018,June,22,Friday,President Schedule,The President and FIRST LADY attend the United States Marine Corps Evening Parade,"Marine Barracks, Washington, DC",In-Town Travel Pool,,,FALSE,,FALSE
6/22/18,21:35:00,9:35 PM,2018,June,22,Friday,President Schedule,The President and FIRST LADY depart the Marine Barracks en route to the White House,"Marine Barracks, Washington, DC",In-Town Travel Pool,,,FALSE,,FALSE
6/22/18,21:45:00,9:45 PM,2018,June,22,Friday,President Schedule,The President and FIRST LADY arrive at the White House,"Washington, DC",In-Town Travel Pool,,,FALSE,,TRUE
6/21/18,09:00:00,9:00 AM,2018,June,21,Thursday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,5,FALSE
6/21/18,11:45:00,11:45 AM,2018,June,21,Thursday,President Schedule,The President hosts a Cabinet meeting,Cabinet Room,In-House Pool Spray,,https://factba.se/transcript/donald-trump-remarks-cabinet-meeting-june-21-2018,FALSE,,FALSE
6/21/18,13:00:00,1:00 PM,2018,June,21,Thursday,President Schedule,The President participates in a working lunch with governors,Roosevelt Room,Closed Press,,https://factba.se/transcript/donald-trump-remarks-governors-lunch-white-house-june-21-2018,FALSE,,FALSE
6/21/18,15:00:00,3:00 PM,2018,June,21,Thursday,President Schedule,The President meets with the Secretary of State,Oval Office,Closed Press,,,FALSE,,FALSE
6/21/18,15:30:00,3:30 PM,2018,June,21,Thursday,President Schedule,The President meets with the Secretary of Defense,Oval Office,Closed Press,,,FALSE,,TRUE
6/20/18,09:00:00,9:00 AM,2018,June,20,Wednesday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,21,FALSE
6/20/18,11:30:00,11:30 AM,2018,June,20,Wednesday,President Schedule,The President meets with Members of Congress,Cabinet Room,Closed Press,,https://factba.se/transcript/donald-trump-remarks-immigration-executive-order-june-20-2018,FALSE,,FALSE
6/20/18,12:30:00,12:30 PM,2018,June,20,Wednesday,President Schedule,The President has lunch with the Vice President and the Secretary of State,Private Dining Room,Closed Press,,,FALSE,,FALSE
6/20/18,14:00:00,2:00 PM,2018,June,20,Wednesday,President Schedule,Out-of-Town Pool Call Time,,Out-of-Town Pool,,,FALSE,,FALSE
6/20/18,14:35:00,2:35 PM,2018,June,20,Wednesday,President Schedule,The President departs the White House en route to Joint Base Andrews,"Washington, DC",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,15:00:00,3:00 PM,2018,June,20,Wednesday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,15:05:00,3:05 PM,2018,June,20,Wednesday,Pool Report Schedule,The President signs an executive order on family separation and immigration,Oval Office,In-Town Pool,,https://factba.se/transcript/donald-trump-remarks-congress-immigration-meeting-june-20-2018,FALSE,,FALSE
6/20/18,15:10:00,3:10 PM,2018,June,20,Wednesday,President Schedule,"The President departs Joint Base Andrews en route to Duluth, MN",Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,17:35:00,5:35 PM,2018,June,20,Wednesday,President Schedule,The President arrives at Duluth International Airport (4:35 PM Local),Duluth International Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,17:45:00,5:45 PM,2018,June,20,Wednesday,President Schedule,The President departs Duluth International Airport en route to Port of Duluth-Superior (4:45 PM Local),Duluth International Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,18:00:00,6:00 PM,2018,June,20,Wednesday,President Schedule,The President arrives at Port of Duluth-Superior (5:00 PM Local),Port of Duluth-Superior,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,18:05:00,6:05 PM,2018,June,20,Wednesday,President Schedule,The President participates in a roundtable discussion on protecting American workers (5:05 PM Local),Port of Duluth-Superior,Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-remarks-roundtable-workers-duluth-minnesota-june-20-2018,FALSE,,FALSE
6/20/18,19:10:00,7:10 PM,2018,June,20,Wednesday,President Schedule,The President departs Port of Duluth-Superior en route to AMSOIL Arena (6:10 PM Local),Port of Duluth-Superior,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,19:15:00,7:15 PM,2018,June,20,Wednesday,President Schedule,The President arrives at AMSOIL Arena (6:15 PM Local),"AMSOIL Arena, Duluth, MN",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,19:30:00,7:30 PM,2018,June,20,Wednesday,President Schedule,The President hosts the Make America Great Again Rally (6:30 PM Local),"AMSOIL Arena, Duluth, MN",Out-of-Town Travel Pool,,https://factba.se/transcript/donald-trump-speech-political-rally-duluth-minnesota-june-20-2018,FALSE,,FALSE
6/20/18,20:35:00,8:35 PM,2018,June,20,Wednesday,President Schedule,The President departs AMSOIL Arena en route to Duluth International Airport (7:35 PM Local),"AMSOIL Arena, Duluth, MN",Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,20:50:00,8:50 PM,2018,June,20,Wednesday,President Schedule,The President arrives at Duluth International Airport (7:50 PM Local),Duluth International Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,21:00:00,9:00 PM,2018,June,20,Wednesday,President Schedule,"The President departs Duluth International Airport en route to Washington, DC (8:00 PM Local)",Duluth International Airport,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,23:15:00,11:15 PM,2018,June,20,Wednesday,President Schedule,The President arrives at Joint Base Andrews,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,23:25:00,11:25 PM,2018,June,20,Wednesday,President Schedule,The President departs Joint Base Andrews en route to the White House,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,FALSE
6/20/18,23:50:00,11:50 PM,2018,June,20,Wednesday,President Schedule,The President arrives at the White House,Joint Base Andrews,Out-of-Town Travel Pool,,,FALSE,,TRUE
6/19/18,09:00:00,9:00 AM,2018,June,19,Tuesday,President Schedule,In-Town Pool Call Time,,In-Town Pool,,,,19,FALSE
6/19/18,12:00:00,12:00 PM,2018,June,19,Tuesday,President Schedule,The President departs the White House en route to the Hyatt Regency Washington on Capitol Hill,South Portico,In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,12:10:00,12:10 PM,2018,June,19,Tuesday,President Schedule,The President arrives at the Hyatt Regency Washington on Capitol Hill,"Hyatt Regency, Capitol Hill",In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,12:25:00,12:25 PM,2018,June,19,Tuesday,President Schedule,The President delivers remarks at the National Federation of Independent Businesses 75th Anniversary Celebration,"Hyatt Regency, Capitol Hill",In-Town Travel Pool,,https://factba.se/transcript/donald-trump-speech-federation-independent-businesses-june-19-2018,FALSE,,FALSE
6/19/18,12:55:00,12:55 PM,2018,June,19,Tuesday,President Schedule,The President departs the Hyatt Regency Washington on Capitol Hill en route to the White House,"Hyatt Regency, Capitol Hill",In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,13:05:00,1:05 PM,2018,June,19,Tuesday,President Schedule,The President arrives at the White House,South Portico,In-Town Travel Pool,,,FALSE,,FALSE
6/19/18,14:00:00,2:00 PM,2018,June,19,Tuesday,President Schedule,The President participates in the arrival of Their Majesties King Felipe VI and Queen Letizia of Spain,South Portico,In-House Pool,,,FALSE,,FALSE
6/19/18,14:10:00,2:10 PM,2018,June,19,Tuesday,President Schedule,The President meets with Their Majesties King Felipe VI and Queen Letizia of Spain,Oval Office,In-House Pool Spray,,https://factba.se/transcript/donald-trump-remarks-trump-bilat-king-span-june-19-2018,FALSE,,FALSE
6/19/18,14:30:00,2:30 PM,2018,June,19,Tuesday,President Schedule,The President participates in an expanded bilateral meeting with His Majesty King Felipe VI of Spain,Oval Office,Closed Press,,,FALSE,,FALSE
